t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.065918,100.000000,0.000000,0.049516,0.000464,0.000000,0.000044,0.000000
0.050463,0.049504,1.450195,0.000000,0.000000,0.049504,0.050010,1.000000,0.049544,0.000000
0.100473,0.099556,10.612793,0.000000,0.000000,0.050052,0.050009,2.000000,0.099596,0.000000
0.150480,0.149652,23.466797,0.000000,0.000000,0.050096,0.050007,3.000000,0.149692,0.000000
0.200482,0.199708,34.606934,0.000000,0.000000,0.050056,0.050002,4.000000,0.199744,0.000000
0.250486,0.249800,40.869141,0.000000,0.000000,0.050092,0.050004,5.000000,0.249840,0.000000
0.300489,0.299860,40.407715,0.000000,0.000000,0.050060,0.050003,6.000000,0.299900,0.000000
0.350497,0.349904,33.288574,0.000000,0.000000,0.050044,0.050008,7.000000,0.349948,0.000000
0.400505,0.400000,20.302734,0.000000,0.000000,0.050096,0.050008,8.000000,0.400040,0.000000
0.450513,0.450096,3.757324,0.000000,0.000000,0.050096,0.050009,9.000000,0.450136,0.000000
0.500516,0.500140,-13.051758,0.000000,0.000000,0.050044,0.050004,10.000000,0.500180,0.000000
0.550526,0.550232,-26.630859,0.000000,0.000000,0.050092,0.050008,11.000000,0.550272,0.000000
0.600531,0.600284,-34.541016,0.000000,0.000000,0.050052,0.050005,12.000000,0.600324,0.000000
0.650534,0.650380,-35.463867,0.000000,0.000000,0.050096,0.050003,13.000000,0.650420,0.000000
0.700534,0.700444,-29.267578,0.000000,0.000000,0.050064,0.050000,14.000000,0.700480,0.000000
0.750537,0.750536,-17.138672,0.000000,0.000000,0.050092,0.050003,15.000000,0.750576,0.000000
0.800545,0.800596,-1.582031,0.000000,0.000000,0.050060,0.050008,16.000000,0.800636,0.000000
0.850550,0.850644,14.304199,0.000000,0.000000,0.050048,0.050005,17.000000,0.850684,0.000000
0.900554,0.900736,27.224121,0.000000,0.000000,0.050092,0.050004,18.000000,0.900776,0.000000
0.950558,0.951216,34.343262,0.000000,0.000000,0.050480,0.050004,19.000000,0.951256,0.000000
1.000560,1.000876,34.409180,0.000000,0.000000,0.049660,0.050003,20.000000,1.000912,0.000000
1.050569,1.050928,27.949219,0.000000,0.000000,0.050052,0.050008,21.000000,1.050972,0.000000
1.100578,1.101024,15.952148,0.000000,0.000000,0.050096,0.050009,22.000000,1.101064,0.000000
1.150585,1.151116,0.791016,0.000000,0.000000,0.050092,0.050007,23.000000,1.151156,0.000000
1.200593,1.201180,-14.370117,0.000000,0.000000,0.050064,0.050008,24.000000,1.201216,0.000000
1.250598,1.251228,-26.235352,0.000000,0.000000,0.050048,0.050006,25.000000,1.251268,0.000000
1.300607,1.301328,-32.695312,0.000000,0.000000,0.050100,0.050008,26.000000,1.301368,0.000000
1.350610,1.351380,-32.695312,0.000000,0.000000,0.050052,0.050003,27.000000,1.351420,0.000000
1.400614,1.401472,-26.037598,0.000000,0.000000,0.050092,0.050004,28.000000,1.401512,0.000000
1.450619,1.451952,-14.172363,0.000000,0.000000,0.050480,0.050006,29.000000,1.451992,0.000000
1.500620,1.501620,0.527344,0.000000,0.000000,0.049668,0.050000,30.000000,1.501656,0.000000
1.550629,1.551676,15.161133,0.000000,0.000000,0.050056,0.050009,31.000000,1.551716,0.000000
1.600635,1.602148,26.696777,0.000000,0.000000,0.050472,0.050006,32.000000,1.602192,0.000000
1.650636,1.652248,32.431641,0.000000,0.000000,0.050100,0.050002,33.000000,1.652288,0.000000
1.700639,1.701908,31.640625,0.000000,0.000000,0.049660,0.050002,34.000000,1.701944,0.000000
1.750644,1.751956,24.587402,0.000000,0.000000,0.050048,0.050007,35.000000,1.751996,0.000000
1.800651,1.802048,12.722168,0.000000,0.000000,0.050092,0.050005,36.000000,1.802088,0.000000
1.850657,1.852136,-1.582031,0.000000,0.000000,0.050088,0.050006,37.000000,1.852176,0.000000
1.900665,1.902196,-15.424805,0.000000,0.000000,0.050060,0.050008,38.000000,1.902236,0.000000
1.950665,1.952680,-25.839844,0.000000,0.000000,0.050484,0.050000,39.000000,1.952720,0.000000
2.000670,2.002348,-30.981445,0.000000,0.000000,0.049668,0.050006,40.000000,2.002384,0.000000
2.050671,2.052396,-29.729004,0.000000,0.000000,0.050048,0.050001,41.000000,2.052436,0.000000
2.100672,2.102916,-22.543945,0.000000,0.000000,0.050520,0.050000,42.000000,2.102956,0.000000
2.150679,2.152536,-10.810547,0.000000,0.000000,0.049620,0.050008,43.000000,2.152576,0.000000
2.200683,2.202628,3.164062,0.000000,0.000000,0.050092,0.050003,44.000000,2.202668,0.000000
2.250692,2.252672,16.479492,0.000000,0.000000,0.050044,0.050012,45.000000,2.252716,0.000000
2.300692,2.302760,26.235352,0.000000,0.000000,0.050088,0.050001,46.000000,2.302800,0.000000
2.350705,2.352848,30.585938,0.000000,0.000000,0.050088,0.050010,47.000000,2.352888,0.000000
2.400713,2.402936,28.608398,0.000000,0.000000,0.050088,0.050007,48.000000,2.402976,0.000000
2.450715,2.453424,20.961914,0.000000,0.000000,0.050488,0.050003,49.000000,2.453464,0.000000
2.500715,2.503476,9.096680,0.000000,0.000000,0.050052,0.050000,50.000000,2.503516,0.000000
2.550721,2.553140,-4.350586,0.000000,0.000000,0.049664,0.050005,51.000000,2.553176,0.000000
2.600729,2.603652,-16.809082,0.000000,0.000000,0.050512,0.050009,52.000000,2.603692,0.000000
2.650735,2.653272,-25.576172,0.000000,0.000000,0.049620,0.050005,53.000000,2.653312,0.000000
2.700739,2.703796,-29.135742,0.000000,0.000000,0.050524,0.050004,54.000000,2.703832,0.000000
2.750744,2.753420,-26.762695,0.000000,0.000000,0.049624,0.050004,55.000000,2.753456,0.000000
2.800750,2.803512,-18.984375,0.000000,0.000000,0.050092,0.050007,56.000000,2.803552,0.000000
2.850752,2.853564,-7.382812,0.000000,0.000000,0.050052,0.050003,57.000000,2.853604,0.000000
2.900760,2.904092,5.932617,0.000000,0.000000,0.050528,0.050007,58.000000,2.904128,0.000000
2.950764,2.953704,17.797852,0.000000,0.000000,0.049612,0.050004,59.000000,2.953744,0.000000
3.000765,3.004228,25.971680,0.000000,0.000000,0.050524,0.050001,60.000000,3.004268,0.000000
3.050773,3.054276,28.740234,0.000000,0.000000,0.050048,0.050009,61.000000,3.054316,0.000000
3.100780,3.104368,25.576172,0.000000,0.000000,0.050092,0.050006,62.000000,3.104408,0.000000
3.150780,3.154412,17.402344,0.000000,0.000000,0.050044,0.050000,63.000000,3.154452,0.000000
3.200697,3.204504,5.668945,0.000000,0.000000,0.050092,0.050008,64.000000,3.204544,0.000000
3.250789,3.254556,-6.987305,0.000000,0.000000,0.050052,0.050002,65.000000,3.254596,0.000000
3.300795,3.304652,-18.061523,0.000000,0.000000,0.050096,0.050005,66.000000,3.304692,0.000000
3.350797,3.354708,-25.246582,0.000000,0.000000,0.050056,0.050002,67.000000,3.354744,0.000000
3.400803,3.404804,-27.290039,0.000000,0.000000,0.050096,0.050006,68.000000,3.404844,0.000000
3.400813,3.671768,21.687012,0.000000,0.000000,0.266964,0.254630,69.000000,3.671804,0.000000
3.705435,3.709820,25.905762,0.000000,0.000000,0.038052,0.050005,70.000000,3.709860,0.000000
3.755441,3.759868,26.630859,0.000000,0.000000,0.050048,0.050004,71.000000,3.759908,0.000000
3.805449,3.809968,21.950684,0.000000,0.000000,0.050100,0.050008,72.000000,3.810008,0.000000
3.855456,3.860020,12.919922,0.000000,0.000000,0.050052,0.050006,73.000000,3.860060,0.000000
3.905463,3.910112,1.318359,0.000000,0.000000,0.050092,0.050007,74.000000,3.910152,0.000000
3.955467,3.960164,-10.283203,0.000000,0.000000,0.050052,0.050004,75.000000,3.960204,0.000000
