t, tp, r, y, u, dtp, dt
   0.000,    0.000,    0.000,    0.000,    3.030,  812.000,    5.000
   0.006, 3160.000,  128.000,    0.000,    3.030, 3160.000,    5.692
   0.013, 7136.000,  128.000,    0.000,    0.000, 3976.000,    6.958
   0.018, 11112.000,  128.000,    0.000,    0.000, 3976.000,    5.007
   0.023, 15088.000,  128.000,    0.000,    0.000, 3976.000,    5.005
   0.033, 20088.000,  128.000,    0.000,    0.000, 5000.000,   10.805
   0.038, 25088.000,  128.000,    0.000,    0.000, 5000.000,    5.001
   0.043, 30088.000,  128.000,    0.000,    0.000, 5000.000,    5.005
   0.048, 35088.000,  128.000,    0.000,    0.000, 5000.000,    5.003
   0.054, 39072.000,  128.000,    0.000,    0.000, 3984.000,    5.063
   0.059, 43040.000,  128.000,    0.000,    0.000, 3968.000,    5.001
   0.064, 47016.000,  128.000,    0.000,    0.000, 3976.000,    5.004
   0.069, 50992.000,  128.000,    0.000,    0.000, 3976.000,    5.005
   0.074, 55992.000,  128.000,    0.000,    0.000, 5000.000,    5.006
   0.079, 60992.000,  128.000,    0.000,    0.000, 5000.000,    5.003
   0.084, 65992.000,  128.000,    0.000,    0.000, 5000.000,    5.005
   0.089, 70992.000,  128.000,    0.000,    0.000, 5000.000,    5.004
   0.094, 75992.000,  128.000,    0.000,    0.000, 5000.000,    5.002
   0.099, 79968.000,  128.000,    0.070,    0.000, 3976.000,    5.002
   0.104, 83944.000,  128.000,    0.070,    0.000, 3976.000,    5.000
   0.109, 87936.000,  128.000,    0.070,    0.000, 3992.000,    5.004
   0.114, 91896.000,  128.000,    0.130,    0.000, 3960.000,    5.005
   0.119, 95872.000,  128.000,    0.130,    0.000, 3976.000,    5.001
   0.124, 100872.000,  128.000,    0.260,    0.000, 5000.000,    5.004
   0.129, 105872.000,  128.000,    0.330,    0.000, 5000.000,    5.004
   0.134, 110872.000,  128.000,    0.530,    0.000, 5000.000,    5.003
   0.139, 114848.000,  128.000,    0.590,    0.000, 3976.000,    5.005
   0.144, 118824.000,  128.000,    0.790,    0.000, 3976.000,    5.006
   0.149, 122800.000,  128.000,    1.050,    0.000, 3976.000,    5.002
   0.154, 126776.000,  128.000,    1.320,    0.000, 3976.000,    5.007
   0.159, 130752.000,  128.000,    1.580,    0.000, 3976.000,    5.001
   0.164, 135752.000,  128.000,    1.910,    0.000, 5000.000,    5.000
   0.169, 140752.000,  128.000,    2.370,    0.000, 5000.000,    5.005
   0.174, 145752.000,  128.000,    2.700,    0.000, 5000.000,    5.001
   0.179, 150752.000,  128.000,    3.230,    0.000, 5000.000,    5.004
   0.184, 154728.000,  128.000,    3.760,    0.000, 3976.000,    5.003
   0.189, 158704.000,  128.000,    4.280,    0.000, 3976.000,    5.000
   0.194, 162684.000,  128.000,    4.880,    0.000, 3980.000,    5.000
   0.199, 166656.000,  128.000,    5.600,    0.000, 3972.000,    5.000
   0.204, 170632.000,  128.000,    6.200,    0.000, 3976.000,    5.006
   0.209, 175632.000,  128.000,    6.990,    0.000, 5000.000,    5.006
   0.214, 180632.000,  128.000,    7.780,    0.000, 5000.000,    5.002
   0.219, 185632.000,  128.000,    8.570,    0.000, 5000.000,    5.006
   0.224, 189612.000,  128.000,    9.560,    0.000, 3980.000,    5.004
   0.229, 193584.000,  128.000,   10.420,    0.000, 3972.000,    5.005
   0.234, 197560.000,  128.000,   11.340,    0.000, 3976.000,    5.006
   0.239, 201536.000,  128.000,   12.460,    0.000, 3976.000,    5.003
   0.244, 205512.000,  128.000,   13.320,    0.000, 3976.000,    5.003
   0.249, 209488.000,  128.000,   14.500,    0.000, 3976.000,    5.000
   0.254, 214488.000,  128.000,   15.560,    0.000, 5000.000,    5.006
   0.259, 219488.000,  128.000,   16.740,    0.000, 5000.000,    5.070
   0.264, 224488.000,  128.000,   18.000,    0.000, 5000.000,    5.005
   0.269, 228464.000,  128.000,   19.050,    0.000, 3976.000,    5.000
   0.274, 232440.000,  128.000,   20.370,    0.000, 3976.000,    5.002
   0.279, 236420.000,  128.000,   21.490,    0.000, 3980.000,    5.004
   0.284, 240392.000,  128.000,   22.810,    0.000, 3972.000,    5.002
   0.289, 244368.000,  128.000,   23.990,    0.000, 3976.000,    5.001
   0.294, 249368.000,  128.000,   25.310,    0.000, 5000.000,    5.002
   0.299, 254368.000,  128.000,   26.700,    0.000, 5000.000,    5.005
   0.304, 259368.000,  128.000,   27.820,    0.000, 5000.000,    5.005
   0.309, 263344.000,  128.000,   29.270,    0.000, 3976.000,    5.007
