t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,100.000000,0.000000,0.029328,0.000065,0.000000,0.000060,0.000000
0.020058,0.019992,0.000000,100.000000,0.000000,0.019992,0.020002,1.000000,0.020032,0.000000
0.040064,0.040024,0.000000,100.000000,0.000000,0.020032,0.020005,2.000000,0.040072,0.000000
0.040072,0.061012,-0.131836,100.000000,0.000000,0.020988,0.020854,3.000000,0.061060,0.000000
0.080918,0.081004,-0.131836,100.000000,0.000000,0.019992,0.020000,4.000000,0.081052,0.000000
0.100923,0.101000,-0.131836,100.000000,0.000000,0.019996,0.020005,5.000000,0.101052,0.000000
0.120927,0.120996,0.065918,100.000000,0.000000,0.019996,0.020006,6.000000,0.121036,0.000000
0.140931,0.140996,1.186523,100.000000,0.000000,0.020000,0.020003,7.000000,0.141036,0.000000
0.160934,0.160996,3.823242,100.000000,0.000000,0.020000,0.020002,8.000000,0.161036,0.000000
0.180936,0.180988,8.041992,100.000000,0.000000,0.019992,0.020002,9.000000,0.181028,0.000000
0.200935,0.201012,13.776855,100.000000,0.000000,0.020024,0.020000,10.000000,0.201060,0.000000
0.220938,0.221012,20.830078,100.000000,0.000000,0.020000,0.020002,11.000000,0.221060,0.000000
0.240938,0.241004,29.003906,100.000000,0.000000,0.019992,0.020000,12.000000,0.241052,0.000000
0.240946,0.262004,38.759766,100.000000,0.000000,0.021000,0.020990,13.000000,0.262052,0.000000
0.281932,0.281988,49.042969,100.000000,0.000000,0.019984,0.020005,14.000000,0.282028,0.000000
0.301938,0.301980,59.853516,100.000000,0.000000,0.019992,0.020005,15.000000,0.302020,0.000000
0.321944,0.322008,70.729980,100.000000,0.000000,0.020028,0.020007,16.000000,0.322052,0.000000
0.341948,0.341996,81.079102,100.000000,0.000000,0.019988,0.020004,17.000000,0.342036,0.000000
0.361950,0.361984,90.307617,100.000000,0.000000,0.019988,0.020001,18.000000,0.362024,0.000000
0.381950,0.382024,98.481445,100.000000,0.000000,0.020040,0.020000,19.000000,0.382072,0.000000
0.401955,0.402016,105.073242,100.000000,0.000000,0.019992,0.020005,20.000000,0.402064,0.000000
0.421962,0.422012,110.214844,100.000000,0.000000,0.019996,0.020007,21.000000,0.422060,0.000000
0.441969,0.442008,113.642578,100.000000,0.000000,0.019996,0.020007,22.000000,0.442060,0.000000
0.461970,0.462012,115.290527,100.000000,0.000000,0.020004,0.020001,23.000000,0.462060,0.000000
0.481972,0.482004,115.092773,100.000000,0.000000,0.019992,0.020002,24.000000,0.482052,0.000000
