t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,1.000000,0.000000,0.030760,0.000414,0.000000,0.000044,0.000000
0.050408,0.049492,0.000000,2.000000,0.000000,0.049492,0.050004,1.000000,0.049536,0.000000
0.100415,0.099152,0.000000,3.000000,0.000000,0.049660,0.050008,2.000000,0.099196,0.000000
0.150420,0.149664,0.000000,4.000000,0.000000,0.050512,0.050004,3.000000,0.149708,0.000000
0.200425,0.199328,0.000000,5.000000,0.000000,0.049664,0.050005,4.000000,0.199368,0.000000
0.250432,0.249800,0.065918,6.000000,0.000000,0.050472,0.050007,5.000000,0.249840,0.000000
0.300437,0.299892,0.131836,7.000000,0.000000,0.050092,0.050005,6.000000,0.299932,0.000000
0.350444,0.349520,0.593262,8.000000,0.000000,0.049628,0.050008,7.000000,0.349568,0.000000
0.400446,0.399620,1.384277,9.000000,0.000000,0.050100,0.050001,8.000000,0.399664,0.000000
0.450449,0.449680,2.702637,10.000000,0.000000,0.050060,0.050003,9.000000,0.449724,0.000000
0.500448,0.499780,4.614258,11.000000,0.000000,0.050100,0.050000,10.000000,0.499824,0.000000
0.550455,0.550268,7.185059,12.000000,0.000000,0.050488,0.050007,11.000000,0.550312,0.000000
0.600465,0.600364,10.283203,13.000000,0.000000,0.050096,0.050009,12.000000,0.600412,0.000000
0.650473,0.649988,13.513184,14.000000,0.000000,0.049624,0.050009,13.000000,0.650028,0.000000
0.700478,0.700084,16.940918,15.000000,0.000000,0.050096,0.050004,14.000000,0.700124,0.000000
0.750484,0.750560,20.104980,16.000000,0.000000,0.050476,0.050006,15.000000,0.750608,0.000000
0.800489,0.800668,22.741699,17.000000,0.000000,0.050108,0.050005,16.000000,0.800708,0.000000
0.850495,0.850716,24.785156,18.000000,0.000000,0.050048,0.050007,17.000000,0.850764,0.000000
0.900497,0.900376,26.103516,19.000000,0.000000,0.049660,0.050002,18.000000,0.900424,0.000000
0.950500,0.950868,26.894531,20.000000,0.000000,0.050492,0.050003,19.000000,0.950908,0.000000
1.000503,1.000536,27.224121,21.000000,0.000000,0.049668,0.050002,20.000000,1.000576,0.000000
1.050507,1.050628,27.487793,22.000000,0.000000,0.050092,0.050005,21.000000,1.050668,0.000000
1.100508,1.101112,28.015137,23.000000,0.000000,0.050484,0.050001,22.000000,1.101160,0.000000
1.150509,1.151212,28.872070,24.000000,0.000000,0.050100,0.050000,23.000000,1.151252,0.000000
1.200516,1.201272,30.388184,25.000000,0.000000,0.050060,0.050007,24.000000,1.201316,0.000000
1.250521,1.251372,32.431641,26.000000,0.000000,0.050100,0.050005,25.000000,1.251412,0.000000
1.300527,1.301432,35.068359,27.000000,0.000000,0.050060,0.050006,26.000000,1.301472,0.000000
1.350534,1.351524,37.968750,28.000000,0.000000,0.050092,0.050007,27.000000,1.351564,0.000000
1.400539,1.401576,41.000977,29.000000,0.000000,0.050052,0.050005,28.000000,1.401620,0.000000
1.450540,1.451628,44.099121,30.000000,0.000000,0.050052,0.050001,29.000000,1.451676,0.000000
1.500546,1.501720,46.999512,30.000000,0.000000,0.050092,0.050007,30.000000,1.501764,0.000000
1.550553,1.551824,49.636230,30.000000,0.000000,0.050104,0.050007,31.000000,1.551868,0.000000
1.600554,1.601888,51.679688,30.000000,0.000000,0.050064,0.050001,32.000000,1.601928,0.000000
1.650559,1.651980,52.998047,30.000000,0.000000,0.050092,0.050005,33.000000,1.652020,0.000000
1.700562,1.702040,53.393555,30.000000,0.000000,0.050060,0.050003,34.000000,1.702080,0.000000
1.750565,1.752132,52.866211,30.000000,0.000000,0.050092,0.050003,35.000000,1.752172,0.000000
1.800569,1.802228,51.416016,30.000000,0.000000,0.050096,0.050004,36.000000,1.802268,0.000000
1.850570,1.852272,49.372559,30.000000,0.000000,0.050044,0.050001,37.000000,1.852312,0.000000
1.900573,1.902364,47.065430,30.000000,0.000000,0.050092,0.050002,38.000000,1.902404,0.000000
1.950582,1.952416,44.824219,30.000000,0.000000,0.050052,0.050010,39.000000,1.952460,0.000000
2.000592,2.002512,42.978516,30.000000,0.000000,0.050096,0.050010,40.000000,2.002552,0.000000
2.050602,2.052568,41.660156,30.000000,0.000000,0.050056,0.050009,41.000000,2.052608,0.000000
2.100608,2.102672,41.132812,30.000000,0.000000,0.050104,0.050006,42.000000,2.102716,0.000000
2.150617,2.152728,41.396484,30.000000,0.000000,0.050056,0.050010,43.000000,2.152776,0.000000
2.200627,2.202792,42.517090,30.000000,0.000000,0.050064,0.050009,44.000000,2.202836,0.000000
2.250632,2.252884,44.099121,30.000000,0.000000,0.050092,0.050005,45.000000,2.252924,0.000000
2.300641,2.302980,46.010742,30.000000,0.000000,0.050096,0.050009,46.000000,2.303020,0.000000
2.350644,2.353032,48.054199,30.000000,0.000000,0.050052,0.050003,47.000000,2.353076,0.000000
2.400651,2.403132,49.899902,30.000000,0.000000,0.050100,0.050015,48.000000,2.403172,0.000000
2.450662,2.453176,51.218262,30.000000,0.000000,0.050044,0.050003,49.000000,2.453216,0.000000
2.500665,2.503276,51.811523,30.000000,0.000000,0.050100,0.050003,50.000000,2.503316,0.000000
2.550666,2.553328,51.745605,30.000000,0.000000,0.050052,0.050001,51.000000,2.553372,0.000000
2.600669,2.603564,50.888672,30.000000,0.000000,0.050236,0.050010,52.000000,2.603604,0.000000
2.650676,2.653480,49.306641,30.000000,0.000000,0.049916,0.050001,53.000000,2.653528,0.000000
2.700681,2.703580,47.526855,30.000000,0.000000,0.050100,0.050005,54.000000,2.703620,0.000000
2.750685,2.753676,45.615234,30.000000,0.000000,0.050096,0.050004,55.000000,2.753716,0.000000
2.800679,2.803728,43.901367,30.000000,0.000000,0.050052,0.050000,56.000000,2.803768,0.000000
2.850694,2.853820,42.714844,30.000000,0.000000,0.050092,0.050009,57.000000,2.853860,0.000000
2.900694,2.903880,42.055664,30.000000,0.000000,0.050060,0.050000,58.000000,2.903920,0.000000
2.950698,2.953972,42.055664,30.000000,0.000000,0.050092,0.050003,59.000000,2.954012,0.000000
3.000701,3.004024,42.780762,30.000000,0.000000,0.050052,0.050003,60.000000,3.004064,0.000000
3.050703,3.054116,43.901367,30.000000,0.000000,0.050092,0.050002,61.000000,3.054156,0.000000
3.100704,3.104340,45.483398,30.000000,0.000000,0.050224,0.050010,62.000000,3.104380,0.000000
3.150722,3.154264,47.197266,30.000000,0.000000,0.049924,0.050010,63.000000,3.154304,0.000000
3.200730,3.204356,48.779297,30.000000,0.000000,0.050092,0.050007,64.000000,3.204396,0.000000
3.250732,3.254408,49.965820,30.000000,0.000000,0.050052,0.050003,65.000000,3.254452,0.000000
3.300734,3.304628,50.690918,30.000000,0.000000,0.050220,0.050002,66.000000,3.304668,0.000000
3.350743,3.354724,50.756836,30.000000,0.000000,0.050096,0.050011,67.000000,3.354764,0.000000
3.400749,3.405212,50.163574,30.000000,0.000000,0.050488,0.050005,68.000000,3.405252,0.000000
3.450752,3.454880,49.108887,30.000000,0.000000,0.049668,0.050007,69.000000,3.454920,0.000000
3.500763,3.505356,47.592773,30.000000,0.000000,0.050476,0.050007,70.000000,3.505400,0.000000
3.550768,3.555024,46.208496,30.000000,0.000000,0.049668,0.050011,71.000000,3.555064,0.000000
3.600783,3.605544,44.824219,30.000000,0.000000,0.050520,0.050008,72.000000,3.605584,0.000000
3.650785,3.655180,43.835449,30.000000,0.000000,0.049636,0.050002,73.000000,3.655220,0.000000
3.700792,3.705284,43.308105,30.000000,0.000000,0.050104,0.050006,74.000000,3.705324,0.000000
3.750801,3.755336,43.242188,30.000000,0.000000,0.050052,0.050009,75.000000,3.755376,0.000000
3.800804,3.805388,43.571777,30.000000,0.000000,0.050052,0.050003,76.000000,3.805432,0.000000
3.850807,3.855484,44.296875,30.000000,0.000000,0.050096,0.050004,77.000000,3.855524,0.000000
3.900808,3.905580,45.219727,30.000000,0.000000,0.050096,0.050001,78.000000,3.905620,0.000000
3.950814,3.955640,46.406250,30.000000,0.000000,0.050060,0.050006,79.000000,3.955680,0.000000
4.000824,4.005740,47.526855,30.000000,0.000000,0.050100,0.050011,80.000000,4.005780,0.000000
4.050829,4.055792,48.383789,30.000000,0.000000,0.050052,0.050005,81.000000,4.055832,0.000000
4.100832,4.105892,49.042969,30.000000,0.000000,0.050100,0.050007,82.000000,4.105932,0.000000
4.150836,4.156372,49.174805,30.000000,0.000000,0.050480,0.050004,83.000000,4.156416,0.000000
4.200848,4.206000,48.911133,30.000000,0.000000,0.049628,0.050007,84.000000,4.206044,0.000000
4.250858,4.256104,48.251953,30.000000,0.000000,0.050104,0.050010,85.000000,4.256148,0.000000
4.300859,4.306024,47.263184,30.000000,0.000000,0.049920,0.050000,86.000000,4.306064,0.000000
4.350861,4.356244,46.274414,30.000000,0.000000,0.050220,0.050006,87.000000,4.356284,0.000000
4.400864,4.406340,45.219727,30.000000,0.000000,0.050096,0.050000,88.000000,4.406380,0.000000
4.450866,4.456392,44.428711,30.000000,0.000000,0.050052,0.050003,89.000000,4.456436,0.000000
4.500868,4.506492,43.835449,30.000000,0.000000,0.050100,0.050000,90.000000,4.506532,0.000000
4.550864,4.556540,43.505859,30.000000,0.000000,0.050048,0.050001,91.000000,4.556584,0.000000
4.600874,4.606644,43.571777,30.000000,0.000000,0.050104,0.050006,92.000000,4.606684,0.000000
4.650883,4.656740,43.901367,30.000000,0.000000,0.050096,0.050012,93.000000,4.656780,0.000000
