t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,100.000000,0.000000,0.027732,0.000034,0.000000,0.000044,0.000000
0.020029,0.019980,0.065918,0.000000,0.000000,0.019980,0.020003,1.000000,0.020020,0.000000
0.040036,0.040008,0.791016,0.000000,0.000000,0.020028,0.020007,2.000000,0.040048,0.000000
0.060037,0.059988,1.911621,0.000000,0.000000,0.019980,0.020002,3.000000,0.060028,0.000000
0.080039,0.080000,3.493652,0.000000,0.000000,0.020012,0.020002,4.000000,0.080040,0.000000
0.100047,0.099980,5.141602,0.000000,0.000000,0.019980,0.020007,5.000000,0.100020,0.000000
0.120049,0.119992,6.987305,0.000000,0.000000,0.020012,0.020002,6.000000,0.120032,0.000000
0.140052,0.139980,8.767090,0.000000,0.000000,0.019988,0.020003,7.000000,0.140020,0.000000
0.160055,0.160008,10.415039,0.000000,0.000000,0.020028,0.020004,8.000000,0.160048,0.000000
0.180057,0.179988,11.733398,0.000000,0.000000,0.019980,0.020001,9.000000,0.180028,0.000000
0.200063,0.200008,12.788086,0.000000,0.000000,0.020020,0.020007,10.000000,0.200044,0.000000
0.220063,0.219980,13.513184,0.000000,0.000000,0.019972,0.020002,11.000000,0.220016,0.000000
0.240072,0.240008,13.776855,0.000000,0.000000,0.020028,0.020006,12.000000,0.240044,0.000000
0.260076,0.259968,13.579102,0.000000,0.000000,0.019960,0.020005,13.000000,0.260008,0.000000
0.280083,0.279992,12.985840,0.000000,0.000000,0.020024,0.020006,14.000000,0.280032,0.000000
0.300086,0.300004,11.997070,0.000000,0.000000,0.020012,0.020004,15.000000,0.300044,0.000000
0.320082,0.319996,10.612793,0.000000,0.000000,0.019992,0.020000,16.000000,0.320036,0.000000
0.340089,0.340016,8.833008,0.000000,0.000000,0.020020,0.020003,17.000000,0.340052,0.000000
0.360095,0.359996,6.723633,0.000000,0.000000,0.019980,0.020005,18.000000,0.360036,0.000000
0.380095,0.380008,4.548340,0.000000,0.000000,0.020012,0.020004,19.000000,0.380048,0.000000
0.400105,0.399988,2.109375,0.000000,0.000000,0.019980,0.020007,20.000000,0.400028,0.000000
0.420110,0.420000,-0.263672,0.000000,0.000000,0.020012,0.020004,21.000000,0.420040,0.000000
0.440110,0.439980,-2.768555,0.000000,0.000000,0.019980,0.020003,22.000000,0.440020,0.000000
0.460115,0.460000,-5.141602,0.000000,0.000000,0.020020,0.020007,23.000000,0.460048,0.000000
0.480125,0.479988,-7.119141,0.000000,0.000000,0.019988,0.020005,24.000000,0.480028,0.000000
0.500129,0.500008,-8.964844,0.000000,0.000000,0.020020,0.020004,25.000000,0.500044,0.000000
0.520130,0.519988,-10.546875,0.000000,0.000000,0.019980,0.020002,26.000000,0.520028,0.000000
0.540132,0.540016,-11.601562,0.000000,0.000000,0.020028,0.020001,27.000000,0.540052,0.000000
0.560135,0.559988,-12.392578,0.000000,0.000000,0.019972,0.020004,28.000000,0.560024,0.000000
0.580140,0.580008,-12.656250,0.000000,0.000000,0.020020,0.020004,29.000000,0.580044,0.000000
0.600138,0.599980,-12.524414,0.000000,0.000000,0.019972,0.020003,30.000000,0.600016,0.000000
0.620148,0.620000,-11.997070,0.000000,0.000000,0.020020,0.020005,31.000000,0.620036,0.000000
0.640153,0.640016,-10.942383,0.000000,0.000000,0.020016,0.020005,32.000000,0.640052,0.000000
0.660153,0.659996,-9.492188,0.000000,0.000000,0.019980,0.020001,33.000000,0.660036,0.000000
0.680156,0.679976,-7.844238,0.000000,0.000000,0.019980,0.020002,34.000000,0.680020,0.000000
0.700157,0.700008,-5.800781,0.000000,0.000000,0.020032,0.020002,35.000000,0.700044,0.000000
0.720162,0.719984,-3.625488,0.000000,0.000000,0.019976,0.020004,36.000000,0.720020,0.000000
0.740162,0.740000,-1.318359,0.000000,0.000000,0.020016,0.020000,37.000000,0.740040,0.000000
0.760169,0.759984,1.054688,0.000000,0.000000,0.019984,0.020008,38.000000,0.760020,0.000000
0.780175,0.780008,3.427734,0.000000,0.000000,0.020024,0.020009,39.000000,0.780048,0.000000
0.800185,0.799984,5.603027,0.000000,0.000000,0.019976,0.020006,40.000000,0.800028,0.000000
0.820189,0.820016,7.646484,0.000000,0.000000,0.020032,0.020005,41.000000,0.820056,0.000000
0.840193,0.839996,9.294434,0.000000,0.000000,0.019980,0.020004,42.000000,0.840036,0.000000
0.860198,0.860012,10.678711,0.000000,0.000000,0.020016,0.020004,43.000000,0.860052,0.000000
0.880198,0.879996,11.667480,0.000000,0.000000,0.019984,0.020000,44.000000,0.880036,0.000000
0.900204,0.900004,12.194824,0.000000,0.000000,0.020008,0.020006,45.000000,0.900044,0.000000
0.920206,0.919988,12.260742,0.000000,0.000000,0.019984,0.020007,46.000000,0.920028,0.000000
0.940212,0.940004,11.931152,0.000000,0.000000,0.020016,0.020002,47.000000,0.940044,0.000000
0.960216,0.959996,11.140137,0.000000,0.000000,0.019992,0.020003,48.000000,0.960036,0.000000
0.980216,0.980016,9.887695,0.000000,0.000000,0.020020,0.020001,49.000000,0.980052,0.000000
1.000217,0.999988,8.437500,0.000000,0.000000,0.019972,0.020001,50.000000,1.000028,0.000000
1.020221,1.020000,6.657715,0.000000,0.000000,0.020012,0.020004,51.000000,1.020040,0.000000
1.040227,1.039976,4.548340,0.000000,0.000000,0.019976,0.020005,52.000000,1.040020,0.000000
1.060232,1.059992,2.438965,0.000000,0.000000,0.020016,0.020005,53.000000,1.060032,0.000000
1.080234,1.080580,0.065918,0.000000,0.000000,0.020588,0.020006,54.000000,1.080616,0.000000
1.100244,1.099992,-2.109375,0.000000,0.000000,0.019412,0.020006,55.000000,1.100040,0.000000
1.120243,1.119988,-4.218750,0.000000,0.000000,0.019996,0.020000,56.000000,1.120028,0.000000
1.120252,1.149024,-7.119141,0.000000,0.000000,0.029036,0.028919,57.000000,1.149064,0.000000
1.169163,1.169012,-8.701172,0.000000,0.000000,0.019988,0.020000,58.000000,1.169052,0.000000
1.189164,1.188992,-10.019531,0.000000,0.000000,0.019980,0.020001,59.000000,1.189028,0.000000
1.209170,1.209016,-11.008301,0.000000,0.000000,0.020024,0.020006,60.000000,1.209056,0.000000
1.229176,1.229000,-11.535645,0.000000,0.000000,0.019984,0.020006,61.000000,1.229036,0.000000
1.249179,1.248988,-11.733398,0.000000,0.000000,0.019988,0.020003,62.000000,1.249028,0.000000
1.269184,1.269016,-11.469727,0.000000,0.000000,0.020028,0.020005,63.000000,1.269052,0.000000
1.289187,1.288996,-10.810547,0.000000,0.000000,0.019980,0.020004,64.000000,1.289036,0.000000
1.289196,1.315576,-9.360352,0.000000,0.000000,0.026580,0.026728,65.000000,1.315616,0.000000
1.335916,1.335984,-7.844238,0.000000,0.000000,0.020408,0.020004,66.000000,1.336024,0.000000
1.355921,1.356008,-6.064453,0.000000,0.000000,0.020024,0.020001,67.000000,1.356056,0.000000
1.375921,1.375568,-4.152832,0.000000,0.000000,0.019560,0.020001,68.000000,1.375608,0.000000
1.395921,1.395580,-2.043457,0.000000,0.000000,0.020012,0.020000,69.000000,1.395620,0.000000
1.395930,1.415560,0.131836,0.000000,0.000000,0.019980,0.020033,70.000000,1.415604,0.000000
1.435959,1.436016,2.438965,0.000000,0.000000,0.020456,0.020004,71.000000,1.436056,0.000000
