t, tp, r, y, u, dtp, dt
   0.000,    0.000,    0.000,    0.000,    3.030, 1844.000,    5.000
   0.005, 3152.000,  128.000,    0.000,    3.030, 3152.000,    5.002
   0.015, 7128.000,  128.000,    0.000,    0.000, 3976.000,    9.622
   0.020, 11104.000,  128.000,    0.000,    0.000, 3976.000,    5.002
   0.025, 15080.000,  128.000,    0.000,    0.000, 3976.000,    5.000
   0.030, 19072.000,  128.000,    0.000,    0.000, 3992.000,    5.003
   0.035, 24056.000,  128.000,    0.000,    0.000, 4984.000,    5.005
   0.040, 29056.000,  128.000,    0.000,    0.000, 5000.000,    5.002
   0.047, 34056.000,  128.000,    0.000,    0.000, 5000.000,    7.712
   0.052, 39056.000,  128.000,    0.000,    0.000, 5000.000,    5.004
   0.057, 43032.000,  128.000,    0.000,    0.000, 3976.000,    5.006
   0.062, 47008.000,  128.000,    0.000,    0.000, 3976.000,    5.004
   0.067, 50984.000,  128.000,    0.000,    0.000, 3976.000,    5.007
   0.072, 54960.000,  128.000,    0.070,    0.000, 3976.000,    5.004
   0.077, 59960.000,  128.000,    0.070,    0.000, 5000.000,    5.000
   0.082, 64960.000,  128.000,    0.070,    0.000, 5000.000,    5.001
   0.087, 69960.000,  128.000,    0.070,    0.000, 5000.000,    5.000
   0.092, 74960.000,  128.000,    0.070,    0.000, 5000.000,    5.004
   0.097, 79960.000,  128.000,    0.130,    0.000, 5000.000,    5.000
   0.102, 83936.000,  128.000,    0.130,    0.000, 3976.000,    5.004
   0.107, 87912.000,  128.000,    0.130,    0.000, 3976.000,    5.001
   0.112, 91888.000,  128.000,    0.260,    0.000, 3976.000,    5.004
   0.117, 95864.000,  128.000,    0.330,    0.000, 3976.000,    5.001
   0.122, 100864.000,  128.000,    0.330,    0.000, 5000.000,    5.005
   0.127, 105864.000,  128.000,    0.400,    0.000, 5000.000,    5.002
   0.132, 110864.000,  128.000,    0.400,    0.000, 5000.000,    5.000
   0.137, 115864.000,  128.000,    0.530,    0.000, 5000.000,    5.004
   0.142, 119840.000,  128.000,    0.530,    0.000, 3976.000,    5.007
   0.147, 123816.000,  128.000,    0.590,    0.000, 3976.000,    5.000
   0.152, 127792.000,  128.000,    0.660,    0.000, 3976.000,    5.005
   0.157, 131768.000,  128.000,    0.660,    0.000, 3976.000,    5.002
   0.162, 136768.000,  128.000,    0.660,    0.000, 5000.000,    5.007
   0.167, 141768.000,  128.000,    0.790,    0.000, 5000.000,    5.002
   0.172, 146768.000,  128.000,    0.790,    0.000, 5000.000,    5.006
   0.177, 151768.000,  128.000,    0.860,    0.000, 5000.000,    5.003
   0.182, 156768.000,  128.000,    0.920,    0.000, 5000.000,    5.002
   0.187, 160744.000,  128.000,    0.920,    0.000, 3976.000,    5.001
   0.192, 164720.000,  128.000,    1.050,    0.000, 3976.000,    5.005
   0.197, 168696.000,  128.000,    1.050,    0.000, 3976.000,    5.005
   0.202, 172672.000,  128.000,    1.120,    0.000, 3976.000,    5.001
   0.207, 177672.000,  128.000,    1.120,    0.000, 5000.000,    5.004
   0.212, 182672.000,  128.000,    1.190,    0.000, 5000.000,    5.003
   0.217, 187672.000,  128.000,    1.190,    0.000, 5000.000,    5.001
   0.222, 192672.000,  128.000,    1.190,    0.000, 5000.000,    5.003
   0.227, 196648.000,  128.000,    1.320,    0.000, 3976.000,    5.006
   0.232, 200624.000,  128.000,    1.320,    0.000, 3976.000,    5.004
   0.237, 204600.000,  128.000,    1.320,    0.000, 3976.000,    5.003
   0.242, 208576.000,  128.000,    1.320,    0.000, 3976.000,    5.005
   0.247, 212552.000,  128.000,    1.320,    0.000, 3976.000,    5.003
   0.252, 217552.000,  128.000,    1.380,    0.000, 5000.000,    5.000
   0.257, 222552.000,  128.000,    1.380,    0.000, 5000.000,    5.004
   0.262, 227552.000,  128.000,    1.380,    0.000, 5000.000,    5.000
   0.267, 232560.000,  128.000,    1.380,    0.000, 5008.000,    5.002
   0.272, 236528.000,  128.000,    1.380,    0.000, 3968.000,    5.003
   0.277, 240504.000,  128.000,    1.380,    0.000, 3976.000,    5.005
   0.282, 244480.000,  128.000,    1.380,    0.000, 3976.000,    5.000
   0.287, 248456.000,  128.000,    1.380,    0.000, 3976.000,    5.005
   0.292, 253456.000,  128.000,    1.380,    0.000, 5000.000,    5.003
   0.298, 258456.000,  128.000,    1.380,    0.000, 5000.000,    5.004
   0.303, 263456.000,  128.000,    1.380,    0.000, 5000.000,    5.002
   0.308, 268456.000,  128.000,    1.320,    0.000, 5000.000,    5.006
   0.313, 272432.000,  128.000,    1.320,    0.000, 3976.000,    5.002
   0.318, 276408.000,  128.000,    1.320,    0.000, 3976.000,    5.000
   0.323, 280384.000,  128.000,    1.320,    0.000, 3976.000,    5.005
   0.328, 284360.000,  128.000,    1.320,    0.000, 3976.000,    5.006
   0.333, 288336.000,  128.000,    1.190,    0.000, 3976.000,    5.001
   0.338, 293336.000,  128.000,    1.190,    0.000, 5000.000,    5.000
   0.343, 298336.000,  128.000,    1.120,    0.000, 5000.000,    5.005
   0.348, 303336.000,  128.000,    1.120,    0.000, 5000.000,    5.006
   0.353, 308336.000,  128.000,    1.050,    0.000, 5000.000,    5.001
   0.358, 312312.000,  128.000,    1.050,    0.000, 3976.000,    5.002
   0.363, 316296.000,  128.000,    0.920,    0.000, 3984.000,    5.002
   0.368, 320264.000,  128.000,    0.920,    0.000, 3968.000,    5.007
   0.373, 324240.000,  128.000,    0.860,    0.000, 3976.000,    5.001
   0.378, 329240.000,  128.000,    0.790,    0.000, 5000.000,    5.003
   0.383, 334248.000,  128.000,    0.790,    0.000, 5008.000,    5.001
   0.388, 339240.000,  128.000,    0.660,    0.000, 4992.000,    5.005
   0.393, 344240.000,  128.000,    0.660,    0.000, 5000.000,    5.002
   0.398, 348216.000,  128.000,    0.590,    0.000, 3976.000,    5.006
   0.403, 352192.000,  128.000,    0.590,    0.000, 3976.000,    5.001
   0.408, 356168.000,  128.000,    0.530,    0.000, 3976.000,    5.001
   0.413, 360144.000,  128.000,    0.400,    0.000, 3976.000,    5.001
   0.418, 364120.000,  128.000,    0.330,    0.000, 3976.000,    5.004
   0.423, 369120.000,  128.000,    0.330,    0.000, 5000.000,    5.000
   0.428, 374120.000,  128.000,    0.260,    0.000, 5000.000,    5.002
   0.433, 379120.000,  128.000,    0.130,    0.000, 5000.000,    5.000
   0.438, 384120.000,  128.000,    0.070,    0.000, 5000.000,    5.004
   0.443, 388096.000,  128.000,    0.070,    0.000, 3976.000,    5.005
   0.448, 392072.000,  128.000,    0.000,    0.000, 3976.000,    5.004
   0.453, 396048.000,  128.000,    0.000,    0.000, 3976.000,    5.006
   0.458, 400024.000,  128.000,   -0.130,    0.000, 3976.000,    5.000
   0.463, 405024.000,  128.000,   -0.200,    0.000, 5000.000,    5.006
   0.468, 410024.000,  128.000,   -0.260,    0.000, 5000.000,    5.002
   0.473, 415024.000,  128.000,   -0.260,    0.000, 5000.000,    5.004
   0.478, 420028.000,  128.000,   -0.400,    0.000, 5004.000,    5.003
   0.483, 425024.000,  128.000,   -0.460,    0.000, 4996.000,    5.003
   0.488, 429000.000,  128.000,   -0.460,    0.000, 3976.000,    5.004
   0.493, 432976.000,  128.000,   -0.530,    0.000, 3976.000,    5.001
   0.498, 436952.000,  128.000,   -0.530,    0.000, 3976.000,    5.006
   0.503, 440928.000,  128.000,   -0.660,    0.000, 3976.000,    5.002
   0.508, 445928.000,  128.000,   -0.730,    0.000, 5000.000,    5.001
   0.513, 450928.000,  128.000,   -0.730,    0.000, 5000.000,    5.007
   0.518, 455928.000,  128.000,   -0.790,    0.000, 5000.000,    5.005
   0.523, 460928.000,  128.000,   -0.790,    0.000, 5000.000,    5.001
   0.528, 464904.000,  128.000,   -0.920,    0.000, 3976.000,    5.002
   0.533, 468880.000,  128.000,   -0.920,    0.000, 3976.000,    5.000
   0.538, 472856.000,  128.000,   -0.920,    0.000, 3976.000,    5.005
   0.543, 476832.000,  128.000,   -0.990,    0.000, 3976.000,    5.002
   0.548, 481832.000,  128.000,   -0.990,    0.000, 5000.000,    5.006
   0.553, 486832.000,  128.000,   -0.990,    0.000, 5000.000,    5.006
   0.558, 491832.000,  128.000,   -1.050,    0.000, 5000.000,    5.006
   0.563, 496832.000,  128.000,   -1.050,    0.000, 5000.000,    5.001
   0.568, 501832.000,  128.000,   -1.050,    0.000, 5000.000,    5.001
   0.573, 505808.000,  128.000,   -1.050,    0.000, 3976.000,    5.000
   0.578, 509784.000,  128.000,   -1.050,    0.000, 3976.000,    5.000
   0.583, 513760.000,  128.000,   -1.190,    0.000, 3976.000,    5.004
