t, tp, r, y, u, dtp, dt
   0.000,    0.000,   96.090,    0.000,    0.000, 1844.000,    5.000
   0.083, 82912.000,   99.800,    0.000,    0.000, 5000.000,   82.652
   0.108, 103816.000,   99.800,    0.000,    0.000, 5000.000,   25.731
   0.125, 130744.000,   99.800,    0.000,    0.000, 3976.000,   17.085
   0.140, 143696.000,   99.800,    0.000,    0.000, 5000.000,   15.026
   0.155, 158696.000,   99.800,    0.000,    0.000, 5000.000,   14.698
   0.160, 162672.000,   99.800,    0.000,    0.000, 3976.000,    4.729
   0.163, 166660.000,   99.800,    0.000,    0.000, 3988.000,    2.628
   0.175, 174600.000,   99.800,    0.000,    0.000, 3976.000,   12.692
   0.191, 189600.000,   99.800,    0.000,   -0.000, 5000.000,   15.856
   0.206, 202552.000,   99.900,    0.000,    8.000, 3976.000,   15.311
   0.235, 214480.000,   99.800,    0.000,   20.000, 3976.000,   28.720
   0.239, 234480.000,   99.710,    0.070,   20.000, 4984.000,    3.471
   0.254, 246408.000,   99.800,    0.070,    0.000, 3976.000,   15.360
   0.275, 265384.000,   99.800,    0.400,    0.000, 5000.000,   21.352
   0.290, 278340.000,   99.800,    0.660,    0.000, 3980.000,   14.769
   0.294, 282312.000,   99.800,    0.790,    0.000, 3972.000,    4.272
   0.298, 286288.000,   99.800,    0.860,    0.000, 3976.000,    4.024
   0.303, 290264.000,   99.800,    1.050,    0.000, 3976.000,    4.350
   0.308, 295276.000,   99.800,    1.120,    0.000, 5012.000,    5.238
   0.310, 300264.000,   99.800,    1.320,    0.000, 4988.000,    1.964
   0.319, 305264.000,   99.800,    1.380,   -0.000, 5000.000,    8.643
   0.324, 310264.000,   99.800,    1.580,   -0.000, 5000.000,    5.828
   0.326, 314240.000,   99.800,    1.650,   -0.000, 3976.000,    1.983
   0.330, 318224.000,   99.800,    1.850,    8.000, 3984.000,    3.896
   0.339, 322192.000,   99.800,    1.910,    8.000, 3968.000,    9.176
   0.343, 326168.000,   99.800,    2.110,    0.000, 3976.000,    3.884
   0.347, 330144.000,   99.800,    2.180,    0.000, 3976.000,    4.120
   0.351, 335144.000,   99.800,    2.370,    0.000, 5000.000,    3.999
   0.355, 340144.000,   99.800,    2.440,    0.000, 5000.000,    3.127
   0.365, 345144.000,   99.800,    2.640,   -0.000, 5000.000,   10.004
   0.368, 349120.000,   99.800,    2.770,   -0.000, 3976.000,    3.789
