t,tp,y,u,pot,dtp,dt,step,pct,ref
0.000000,0.000000,0.000000,100.000000,0.000000,0.035712,0.000033,0.000000,0.000044,0.000000
0.020027,0.020020,0.065918,0.000000,0.000000,0.020020,0.020002,1.000000,0.020060,0.000000
0.040027,0.039988,0.791016,0.000000,0.000000,0.019968,0.020000,2.000000,0.040028,0.000000
0.060033,0.060012,1.845703,0.000000,0.000000,0.020024,0.020007,3.000000,0.060052,0.000000
0.080040,0.080024,3.229980,0.000000,0.000000,0.020012,0.020007,4.000000,0.080064,0.000000
0.100040,0.100008,4.812012,0.000000,0.000000,0.019984,0.020000,5.000000,0.100048,0.000000
0.120040,0.120020,6.459961,0.000000,0.000000,0.020012,0.020000,6.000000,0.120056,0.000000
0.120049,0.234584,11.997070,0.000000,0.000000,0.114564,0.114593,7.000000,0.234624,0.000000
0.254634,0.254604,11.865234,0.000000,0.000000,0.020020,0.020000,8.000000,0.254644,0.000000
0.274640,0.274568,11.206055,0.000000,0.000000,0.019964,0.020006,9.000000,0.274612,0.000000
0.294646,0.294604,10.349121,0.000000,0.000000,0.020036,0.020006,10.000000,0.294644,0.000000
0.314652,0.314584,9.096680,0.000000,0.000000,0.019980,0.020006,11.000000,0.314620,0.000000
0.334655,0.334564,7.514648,0.000000,0.000000,0.019980,0.020004,12.000000,0.334608,0.000000
0.354662,0.354588,5.668945,0.000000,0.000000,0.020024,0.020006,13.000000,0.354628,0.000000
0.374661,0.374612,3.691406,0.000000,0.000000,0.020024,0.020003,14.000000,0.374652,0.000000
0.394672,0.394588,1.582031,0.000000,0.000000,0.019976,0.020008,15.000000,0.394624,0.000000
0.414679,0.414612,-0.659180,0.000000,0.000000,0.020024,0.020006,16.000000,0.414652,0.000000
0.434678,0.434588,-2.768555,0.000000,0.000000,0.019976,0.020000,17.000000,0.434624,0.000000
0.454686,0.454612,-4.746094,0.000000,0.000000,0.020024,0.020011,18.000000,0.454652,0.000000
0.474694,0.474592,-6.591797,0.000000,0.000000,0.019980,0.020005,19.000000,0.474632,0.000000
0.494701,0.494572,-8.173828,0.000000,0.000000,0.019980,0.020006,20.000000,0.494616,0.000000
0.494709,0.515596,-9.492188,0.000000,0.000000,0.021024,0.021313,21.000000,0.515636,0.000000
0.536011,0.536036,-10.546875,0.000000,0.000000,0.020440,0.020006,22.000000,0.536076,0.000000
0.556022,0.555596,-11.074219,0.000000,0.000000,0.019560,0.020002,23.000000,0.555636,0.000000
0.576022,0.576000,-11.271973,0.000000,0.000000,0.020404,0.020000,24.000000,0.576040,0.000000
