t,tp,y,u,pot,dtp,dt,step,pct,ref
0.019999,0.000000,0.000000,100.000000,0.000000,0.038440,0.020007,0.000000,0.000048,0.000000
0.040002,0.019988,0.000000,100.000000,0.000000,0.019988,0.020004,1.000000,0.020028,0.000000
0.060009,0.039980,0.000000,100.000000,0.000000,0.019992,0.020006,2.000000,0.040020,0.000000
0.080011,0.059988,-0.131836,100.000000,0.000000,0.020008,0.020002,3.000000,0.060032,0.000000
0.100018,0.079980,-0.131836,100.000000,0.000000,0.019992,0.020007,4.000000,0.080024,0.000000
0.120021,0.099832,0.000000,100.000000,0.000000,0.019852,0.020003,5.000000,0.099872,0.000000
0.140021,0.119996,0.065918,100.000000,0.000000,0.020164,0.020000,6.000000,0.120040,0.000000
0.160021,0.139992,0.527344,100.000000,0.000000,0.019996,0.020000,7.000000,0.140032,0.000000
0.180027,0.159988,2.636719,100.000000,0.000000,0.019996,0.020006,8.000000,0.160028,0.000000
0.200031,0.179984,6.196289,100.000000,0.000000,0.019996,0.020008,9.000000,0.180028,0.000000
0.220040,0.200016,11.337891,100.000000,0.000000,0.020032,0.020005,10.000000,0.200056,0.000000
0.240044,0.220012,17.797852,100.000000,0.000000,0.019996,0.020005,11.000000,0.220052,0.000000
0.260047,0.240004,25.444336,100.000000,0.000000,0.019992,0.020002,12.000000,0.240044,0.000000
0.280048,0.259820,34.277344,100.000000,0.000000,0.019816,0.020001,13.000000,0.259860,0.000000
0.280056,0.281436,44.824219,100.000000,0.000000,0.021616,0.021509,14.000000,0.281476,0.000000
0.321558,0.301412,55.371094,100.000000,0.000000,0.019976,0.020001,15.000000,0.301452,0.000000
0.341563,0.321004,65.983887,100.000000,0.000000,0.019592,0.020005,16.000000,0.321048,0.000000
0.361570,0.340996,76.530762,100.000000,0.000000,0.019992,0.020007,17.000000,0.341036,0.000000
0.361578,0.362428,87.077637,100.000000,0.000000,0.021432,0.021217,18.000000,0.362468,0.000000
0.382795,0.383408,96.042480,100.000000,0.000000,0.020980,0.020870,19.000000,0.383448,0.000000
0.423664,0.403432,103.227539,100.000000,0.000000,0.020024,0.020007,20.000000,0.403472,0.000000
0.443668,0.423404,108.896484,100.000000,0.000000,0.019972,0.020005,21.000000,0.423444,0.000000
0.463671,0.443432,112.983398,100.000000,0.000000,0.020028,0.020003,22.000000,0.443472,0.000000
0.483676,0.463448,115.356445,100.000000,0.000000,0.020016,0.020004,23.000000,0.463488,0.000000
0.503679,0.483436,116.015625,100.000000,0.000000,0.019988,0.020003,24.000000,0.483476,0.000000
0.523684,0.503416,114.960938,100.000000,0.000000,0.019980,0.020005,25.000000,0.503456,0.000000
0.543689,0.523404,112.192383,100.000000,0.000000,0.019988,0.020005,26.000000,0.523444,0.000000
0.563692,0.543432,108.105469,100.000000,0.000000,0.020028,0.020003,27.000000,0.543476,0.000000
0.583693,0.563420,102.370605,100.000000,0.000000,0.019988,0.020001,28.000000,0.563460,0.000000
0.603693,0.583408,95.515137,100.000000,0.000000,0.019988,0.020000,29.000000,0.583448,0.000000
0.623696,0.603440,87.275391,100.000000,0.000000,0.020032,0.020003,30.000000,0.603480,0.000000
0.623704,0.630420,74.619141,100.000000,0.000000,0.026980,0.027082,31.000000,0.630464,0.000000
0.650786,0.651420,63.940430,100.000000,0.000000,0.021000,0.020939,32.000000,0.651460,0.000000
0.691719,0.671440,53.854980,100.000000,0.000000,0.020020,0.020003,33.000000,0.671484,0.000000
0.711723,0.691428,44.165039,100.000000,0.000000,0.019988,0.020003,34.000000,0.691468,0.000000
0.731726,0.711400,35.332031,100.000000,0.000000,0.019972,0.020003,35.000000,0.711448,0.000000
0.751727,0.731400,27.421875,100.000000,0.000000,0.020000,0.020001,36.000000,0.731444,0.000000
0.771732,0.751432,20.632324,100.000000,0.000000,0.020032,0.020005,37.000000,0.751472,0.000000
0.791739,0.771420,15.161133,100.000000,0.000000,0.019988,0.020008,38.000000,0.771460,0.000000
0.811747,0.791412,11.074219,100.000000,0.000000,0.019992,0.020008,39.000000,0.791456,0.000000
0.811756,0.812000,8.305664,100.000000,0.000000,0.020588,0.020496,40.000000,0.812040,0.000000
0.852245,0.832020,7.250977,100.000000,0.000000,0.020020,0.020001,41.000000,0.832064,0.000000
0.872245,0.852020,7.778320,100.000000,0.000000,0.020000,0.020001,42.000000,0.852060,0.000000
0.892253,0.872012,9.821777,100.000000,0.000000,0.019992,0.020007,43.000000,0.872052,0.000000
0.912260,0.892004,13.315430,100.000000,0.000000,0.019992,0.020007,44.000000,0.892044,0.000000
0.932266,0.912000,18.061523,100.000000,0.000000,0.019996,0.020006,45.000000,0.912040,0.000000
0.952271,0.931820,24.060059,100.000000,0.000000,0.019820,0.020005,46.000000,0.931868,0.000000
0.972270,0.952024,31.245117,100.000000,0.000000,0.020204,0.020000,47.000000,0.952064,0.000000
0.992276,0.972020,39.353027,100.000000,0.000000,0.019996,0.020005,48.000000,0.972060,0.000000
1.012280,0.992016,48.317871,100.000000,0.000000,0.019996,0.020004,49.000000,0.992060,0.000000
1.032284,1.012012,57.744141,100.000000,0.000000,0.019996,0.020005,50.000000,1.012052,0.000000
1.052288,1.032004,67.368164,100.000000,0.000000,0.019992,0.020003,51.000000,1.032044,0.000000
1.072294,1.051996,76.728516,100.000000,0.000000,0.019992,0.020006,52.000000,1.052036,0.000000
1.092300,1.071996,85.297852,100.000000,0.000000,0.020000,0.020007,53.000000,1.072036,0.000000
1.112307,1.091852,92.812500,100.000000,0.000000,0.019856,0.020006,54.000000,1.091892,0.000000
1.132312,1.112024,99.140625,100.000000,0.000000,0.020172,0.020005,55.000000,1.112064,0.000000
1.152318,1.132012,104.018555,100.000000,0.000000,0.019988,0.020007,56.000000,1.132052,0.000000
1.172326,1.152004,107.578125,100.000000,0.000000,0.019992,0.020007,57.000000,1.152044,0.000000
1.192333,1.172036,109.291992,100.000000,0.000000,0.020032,0.020007,58.000000,1.172080,0.000000
1.212333,1.192028,109.555664,100.000000,0.000000,0.019992,0.020000,59.000000,1.192068,0.000000
1.232334,1.212016,108.369141,100.000000,0.000000,0.019988,0.020001,60.000000,1.212056,0.000000
1.252337,1.232004,105.600586,100.000000,0.000000,0.019988,0.020003,61.000000,1.232044,0.000000
1.272339,1.251868,101.513672,100.000000,0.000000,0.019864,0.020002,62.000000,1.251912,0.000000
1.292339,1.271996,96.042480,100.000000,0.000000,0.020128,0.020000,63.000000,1.272036,0.000000
1.312343,1.292032,89.384766,100.000000,0.000000,0.020036,0.020004,64.000000,1.292080,0.000000
1.332343,1.312036,81.738281,100.000000,0.000000,0.020004,0.020000,65.000000,1.312076,0.000000
1.352349,1.332028,73.168945,100.000000,0.000000,0.019992,0.020007,66.000000,1.332068,0.000000
1.372355,1.352020,64.138184,100.000000,0.000000,0.019992,0.020005,67.000000,1.352060,0.000000
1.392356,1.372020,55.107422,100.000000,0.000000,0.020000,0.020001,68.000000,1.372060,0.000000
1.412362,1.392004,46.406250,100.000000,0.000000,0.019984,0.020006,69.000000,1.392044,0.000000
1.432369,1.411860,38.364258,100.000000,0.000000,0.019856,0.020007,70.000000,1.411908,0.000000
1.452376,1.431996,31.245117,100.000000,0.000000,0.020136,0.020007,71.000000,1.432036,0.000000
1.472381,1.452032,25.180664,100.000000,0.000000,0.020036,0.020005,72.000000,1.452072,0.000000
1.492381,1.472020,20.302734,100.000000,0.000000,0.019988,0.020000,73.000000,1.472060,0.000000
